STATEFP,COUNTYFP,NAME,GEOID
23,19,Penobscot,12620
51,43,Clarke,47900
48,251,Johnson,19100
22,95,St. John the Baptist,35380
22,125,West Feliciana,12940
26,61,Houghton,26340
48,231,Hunt,19100
4,3,Cochise,43420
37,189,Watauga,14380
38,7,Billings,19860
51,630,Fredericksburg,47900
42,13,Blair,11020
26,65,Ingham,29620
29,167,Polk,44180
47,139,Polk,17420
47,153,Sequatchie,16860
48,497,Wise,19100
13,223,Paulding,12060
55,127,Walworth,48580
56,1,Albany,29660
56,5,Campbell,23940
47,169,Trousdale,34980
46,87,McCook,43620
47,177,Warren,32660
48,131,Duval,10860
48,143,Erath,44500
42,11,Berks,39740
42,19,Butler,38300
26,17,Bay,13020
51,685,Manassas Park,47900
48,163,Frio,37770
48,179,Gray,37420
28,47,Harrison,25060
48,303,Lubbock,31180
51,540,Charlottesville,16820
51,570,Colonial Heights,40060
51,610,Falls Church,47900
39,25,Clermont,17140
39,53,Gallia,38580
31,153,Sarpy,36540
31,109,Lancaster,30700
31,119,Madison,35740
31,53,Dodge,23340
39,119,Muskingum,49780
5,51,Garland,26300
29,173,Ralls,25300
40,21,Cherokee,45140
36,79,Putnam,35620
39,127,Perry,18140
20,45,Douglas,29940
20,51,Ellis,25700
20,55,Finney,23780
29,177,Ray,28140
20,173,Sedgwick,48620
20,177,Shawnee,45820
29,17,Bollinger,16020
29,47,Clay,28140
20,59,Franklin,36840
29,105,Laclede,30060
39,9,Athens,11900
19,181,Warren,19780
19,187,Webster,22700
38,65,Oliver,13900
6,111,Ventura,37100
20,175,Seward,30580
22,23,Cameron,29340
22,51,Jefferson,35380
22,75,Plaquemines,35380
20,17,Chase,21380
20,37,Crawford,38260
29,510,St. Louis,41180
21,21,Boyle,19220
36,107,Tioga,13780
20,169,Saline,41460
21,137,Lincoln,19220
39,147,Seneca,45660
39,153,Summit,10420
40,37,Creek,46140
34,37,Sussex,35620
32,23,Nye,37220
32,510,Carson City,16180
40,39,Custer,48220
29,77,Greene,44180
28,115,Pontotoc,46180
31,177,Washington,36540
20,125,Montgomery,17700
20,209,Wyandotte,28140
21,77,Gallatin,17140
24,9,Calvert,47900
6,103,Tehama,39780
40,9,Beckham,21120
40,19,Carter,11620
38,89,Stark,19860
29,1,Adair,28860
51,790,Staunton,44420
26,75,Jackson,27100
26,79,Kalkaska,45900
39,7,Ashtabula,11780
37,141,Pender,48900
39,73,Hocking,18140
39,77,Huron,35940
46,99,Minnehaha,43620
54,15,Clay,16620
21,103,Henry,31140
36,33,Franklin,31660
36,51,Livingston,40380
31,55,Douglas,36540
40,47,Garfield,21420
13,47,Catoosa,16860
31,47,Dawson,30420
55,25,Dane,31540
39,129,Pickaway,18140
39,19,Carroll,15940
21,13,Bell,33180
39,97,Madison,18140
28,67,Jones,29860
21,173,Montgomery,34460
55,39,Fond du Lac,22540
55,59,Kenosha,16980
39,151,Stark,15940
40,31,Comanche,30020
28,71,Lafayette,37060
28,85,Lincoln,15020
39,83,Knox,34540
39,91,Logan,13340
40,121,Pittsburg,32540
46,125,Turner,43620
21,199,Pulaski,43700
26,149,St. Joseph,44780
39,157,Tuscarawas,35420
26,155,Shiawassee,29620
39,117,Morrow,18140
39,143,Sandusky,23380
39,165,Warren,17140
39,133,Portage,10420
39,13,Belmont,48540
39,107,Mercer,16380
21,227,Warren,14540
53,35,Kitsap,14740
53,41,Lewis,16500
51,830,Williamsburg,47260
55,15,Calumet,11540
55,21,Columbia,31540
39,17,Butler,17140
35,47,San Miguel,29780
35,57,Torrance,10740
33,13,Merrimack,18180
39,155,Trumbull,49660
28,133,Sunflower,26940
18,59,Hancock,26900
27,141,Sherburne,33460
27,147,Steele,36940
35,61,Valencia,10740
13,249,Schley,11140
17,19,Champaign,16580
47,131,Obion,46460
21,111,Jefferson,31140
12,99,Palm Beach,33100
22,121,West Baton Rouge,12940
1,53,Escambia,12120
1,67,Henry,20020
19,77,Guthrie,19780
27,131,Rice,22060
42,79,Luzerne,42540
48,9,Archer,48660
50,3,Bennington,13540
13,207,Monroe,31420
18,173,Warrick,21780
17,179,Tazewell,37900
13,57,Cherokee,12060
17,57,Fulton,37900
13,85,Dawson,12060
13,225,Peach,47580
48,431,Sterling,41660
42,47,Elk,41260
13,277,Tift,45700
48,381,Randall,11100
26,125,Oakland,19820
21,169,Metcalfe,23980
48,487,Wilbarger,46900
48,493,Wilson,41700
42,75,Lebanon,30140
24,510,Baltimore,12580
36,95,Schoharie,10580
19,99,Jasper,19780
13,15,Bartow,12060
47,75,Haywood,15140
5,55,Greene,37500
8,14,Broomfield,19740
19,101,Jefferson,21840
19,105,Jones,16300
12,19,Clay,27260
12,49,Hardee,48100
19,57,Des Moines,15460
20,61,Geary,31740
42,123,Warren,47620
13,95,Dougherty,10500
27,83,Lyon,32140
42,119,Union,30260
13,177,Lee,10500
36,99,Seneca,42900
33,1,Belknap,29060
45,37,Edgefield,12260
13,167,Johnson,20140
27,99,Mower,12380
21,145,McCracken,37140
26,45,Eaton,29620
8,41,El Paso,17820
18,69,Huntington,26540
18,73,Jasper,16980
37,87,Haywood,11700
37,155,Robeson,31300
38,105,Williams,48780
48,139,Ellis,19100
48,481,Wharton,20900
41,45,Malheur,36620
42,63,Indiana,26860
45,53,Jasper,25940
18,29,Dearborn,17140
8,47,Gilpin,19740
47,161,Stewart,17300
26,19,Benzie,45900
44,3,Kent,39300
18,105,Monroe,14020
40,81,Lincoln,36420
5,31,Craighead,27860
27,41,Douglas,10820
19,125,Marion,37800
8,119,Teller,17820
12,1,Alachua,23540
9,15,Windham,49340
12,27,DeSoto,11580
5,123,St. Francis,22620
18,43,Floyd,31140
21,215,Spencer,31140
21,221,Trigg,17300
22,73,Ouachita,33740
22,87,St. Bernard,35380
40,71,Kay,38620
9,3,Hartford,25540
26,117,Montcalm,24340
26,121,Muskegon,34740
42,81,Lycoming,48700
19,61,Dubuque,20220
19,139,Muscatine,34700
19,153,Polk,19780
19,13,Black Hawk,47940
20,139,Osage,45820
42,69,Lackawanna,42540
40,115,Ottawa,33060
27,45,Fillmore,40340
27,123,Ramsey,33460
