GEOID,NAME,LSAD
"13140","Beaumont-Port Arthur, TX",M1
"14540","Bowling Green, KY",M1
"10980","Alpena, MI",M2
"19660","Deltona-Daytona Beach-Ormond Beach, FL",M1
"21980","Fallon, NV",M2
"15540","Burlington-South Burlington, VT",M1
"17140","Cincinnati, OH-KY-IN",M1
"25420","Harrisburg-Carlisle, PA",M1
"38900","Portland-Vancouver-Hillsboro, OR-WA",M1
"28940","Knoxville, TN",M1
"40340","Rochester, MN",M1
"29820","Las Vegas-Henderson-Paradise, NV",M1
"10580","Albany-Schenectady-Troy, NY",M1
"39580","Raleigh-Cary, NC",M1
"14260","Boise City, ID",M1
"11660","Arkadelphia, AR",M2
"45060","Syracuse, NY",M1
"32580","McAllen-Edinburg-Mission, TX",M1
"45500","Texarkana, TX-AR",M1
"31740","Manhattan, KS",M1
"21780","Evansville, IN-KY",M1
"46220","Tuscaloosa, AL",M1
"36540","Omaha-Council Bluffs, NE-IA",M1
"19100","Dallas-Fort Worth-Arlington, TX",M1
"19820","Detroit-Warren-Dearborn, MI",M1
"17900","Columbia, SC",M1
"16820","Charlottesville, VA",M1
"46300","Twin Falls, ID",M1
"42200","Santa Maria-Santa Barbara, CA",M1
"12700","Barnstable Town, MA",M1
"16420","Central City, KY",M2
"23540","Gainesville, FL",M1
"37580","Paris, TX",M2
"17980","Columbus, GA-AL",M1
"42220","Santa Rosa-Petaluma, CA",M1
"25980","Hinesville, GA",M1
"10780","Alexandria, LA",M1
"15820","Campbellsville, KY",M2
"24900","Greenwood, MS",M2
"46140","Tulsa, OK",M1
"49340","Worcester, MA-CT",M1
"31420","Macon-Bibb County, GA",M1
"39100","Poughkeepsie-Newburgh-Middletown, NY",M1
"40460","Rockingham, NC",M2
"45820","Topeka, KS",M1
"36380","Okeechobee, FL",M2
"34100","Morristown, TN",M1
"25200","Hailey, ID",M2
"33940","Montrose, CO",M2
"27260","Jacksonville, FL",M1
"24340","Grand Rapids-Kentwood, MI",M1
"34300","Mountain Home, ID",M2
"43460","Sikeston, MO",M2
"35980","Norwich-New London, CT",M1
"41420","Salem, OR",M1
"18140","Columbus, OH",M1
"45460","Terre Haute, IN",M1
"38100","Picayune, MS",M2
"11620","Ardmore, OK",M2
"21020","Elizabeth City, NC",M2
"17380","Cleveland, MS",M2
"28700","Kingsport-Bristol, TN-VA",M1
"34900","Napa, CA",M1
"10700","Albertville, AL",M2
"12940","Baton Rouge, LA",M1
"22500","Florence, SC",M1
"43500","Silver City, NM",M2
"24020","Glens Falls, NY",M1
"48060","Watertown-Fort Drum, NY",M1
"44020","Spirit Lake, IA",M2
"38740","Poplar Bluff, MO",M2
"45540","The Villages, FL",M1
"17300","Clarksville, TN-KY",M1
"24580","Green Bay, WI",M1
"43760","Sonora, CA",M2
"34420","Mount Pleasant, TX",M2
"38240","Pinehurst-Southern Pines, NC",M2
"11140","Americus, GA",M2
"15580","Butte-Silver Bow, MT",M2
"15780","Camden, AR",M2
"27140","Jackson, MS",M1
"16020","Cape Girardeau, MO-IL",M1
"35300","New Haven-Milford, CT",M1
"24500","Great Falls, MT",M1
"16060","Carbondale-Marion, IL",M1
"36980","Owensboro, KY",M1
"47020","Victoria, TX",M1
"42460","Scottsboro, AL",M2
"11940","Athens, TN",M2
"42540","Scranton--Wilkes-Barre, PA",M1
"43060","Shawnee, OK",M2
"19300","Daphne-Fairhope-Foley, AL",M1
"28820","Kinston, NC",M2
"36660","Opelousas, LA",M2
"31140","Louisville/Jefferson County, KY-IN",M1
"22380","Flagstaff, AZ",M1
"40380","Rochester, NY",M1
"34860","Nacogdoches, TX",M2
"30700","Lincoln, NE",M1
"17540","Clinton, IA",M2
"31080","Los Angeles-Long Beach-Anaheim, CA",M1
"38060","Phoenix-Mesa-Chandler, AZ",M1
"29780","Las Vegas, NM",M2
"40260","Roanoke Rapids, NC",M2
"18700","Corvallis, OR",M1
"30980","Longview, TX",M1
"28140","Kansas City, MO-KS",M1
"36260","Ogden-Clearfield, UT",M1
"38220","Pine Bluff, AR",M1
"27660","Jennings, LA",M2
"11580","Arcadia, FL",M2
"33980","Morehead City, NC",M2
"15860","Ca?on City, CO",M2
"46540","Utica-Rome, NY",M1
"35900","North Wilkesboro, NC",M2
"26500","Huntingdon, PA",M2
"30820","Lock Haven, PA",M2
"20140","Dublin, GA",M2
"28780","Kingsville, TX",M2
"46380","Ukiah, CA",M2
"12420","Austin-Round Rock-Georgetown, TX",M1
"32180","Marshall, MO",M2
"46700","Vallejo, CA",M1
"12020","Athens-Clarke County, GA",M1
"28060","Kalispell, MT",M2
"29260","La Grande, OR",M2
"34350","Mount Gay-Shamrock, WV",M2
"13220","Beckley, WV",M1
"22220","Fayetteville-Springdale-Rogers, AR",M1
"25860","Hickory-Lenoir-Morganton, NC",M1
"31260","Lufkin, TX",M2
"14780","Brenham, TX",M2
"14500","Boulder, CO",M1
"46780","Van Wert, OH",M2
"14580","Bozeman, MT",M2
"13820","Birmingham-Hoover, AL",M1
"13620","Berlin, NH",M2
"35140","Newberry, SC",M2
"40140","Riverside-San Bernardino-Ontario, CA",M1
"44980","Sunbury, PA",M2
"41220","St. Marys, GA",M2
"48780","Williston, ND",M2
"49620","York-Hanover, PA",M1
"24780","Greenville, NC",M1
"45520","The Dalles, OR",M2
"21580","Espa?ola, NM",M2
"30280","Lewisburg, TN",M2
"30140","Lebanon, PA",M1
"39420","Pullman, WA",M2
"20540","Dyersburg, TN",M2
"40080","Richmond-Berea, KY",M2
"24330","Grand Rapids, MN",M2
"23140","Frankfort, IN",M2
"19260","Danville, VA",M2
"36837","Ottawa, IL",M2
"47380","Waco, TX",M1
