GEOID,NAME,LSAD,lat,lon
29200,"Lafayette-West Lafayette, IN",M1,40.477,-87.023
16740,"Charlotte-Concord-Gastonia, NC-SC",M1,35.169,-80.795
29100,"La Crosse-Onalaska, WI-MN",M1,43.779,-91.32
12580,"Baltimore-Columbia-Towson, MD",M1,39.535,-76.09
12580,"Baltimore-Columbia-Towson, MD",M1,38.909,-76.246
12580,"Baltimore-Columbia-Towson, MD",M1,39.285,-76.265
12580,"Baltimore-Columbia-Towson, MD",M1,39.313,-76.324
12580,"Baltimore-Columbia-Towson, MD",M1,39.068,-76.02
12580,"Baltimore-Columbia-Towson, MD",M1,39.249,-76.366
12580,"Baltimore-Columbia-Towson, MD",M1,39.233,-76.393
12580,"Baltimore-Columbia-Towson, MD",M1,39.385,-76.676
36740,"Orlando-Kissimmee-Sanford, FL",M1,28.434,-81.363
11700,"Asheville, NC",M1,35.601,-82.683
14100,"Bloomsburg-Berwick, PA",M1,41.044,-76.459
13900,"Bismarck, ND",M1,46.884,-100.979
17860,"Columbia, MO",M1,38.984,-92.579
17660,"Coeur d'Alene, ID",M1,47.674,-116.702
38860,"Portland-South Portland, ME",M1,43.708,-69.757
38860,"Portland-South Portland, ME",M1,43.727,-69.937
38860,"Portland-South Portland, ME",M1,43.837,-69.991
38860,"Portland-South Portland, ME",M1,43.82,-70.008
38860,"Portland-South Portland, ME",M1,43.72,-70.03
38860,"Portland-South Portland, ME",M1,43.796,-70.039
38860,"Portland-South Portland, ME",M1,43.725,-70.044
38860,"Portland-South Portland, ME",M1,43.754,-70.052
38860,"Portland-South Portland, ME",M1,43.765,-70.058
38860,"Portland-South Portland, ME",M1,43.785,-70.07
38860,"Portland-South Portland, ME",M1,43.799,-70.072
38860,"Portland-South Portland, ME",M1,43.713,-70.076
38860,"Portland-South Portland, ME",M1,43.717,-70.085
38860,"Portland-South Portland, ME",M1,43.727,-70.091
38860,"Portland-South Portland, ME",M1,43.681,-70.094
38860,"Portland-South Portland, ME",M1,43.783,-70.101
38860,"Portland-South Portland, ME",M1,43.697,-70.102
38860,"Portland-South Portland, ME",M1,43.706,-70.118
38860,"Portland-South Portland, ME",M1,43.733,-70.121
38860,"Portland-South Portland, ME",M1,43.762,-70.138
38860,"Portland-South Portland, ME",M1,43.69,-70.155
38860,"Portland-South Portland, ME",M1,43.741,-70.182
38860,"Portland-South Portland, ME",M1,43.718,-70.192
38860,"Portland-South Portland, ME",M1,43.661,-70.189
38860,"Portland-South Portland, ME",M1,43.641,-70.201
38860,"Portland-South Portland, ME",M1,43.679,-70.198
38860,"Portland-South Portland, ME",M1,43.542,-70.235
38860,"Portland-South Portland, ME",M1,42.985,-70.611
38860,"Portland-South Portland, ME",M1,43.696,-70.471
31180,"Lubbock, TX",M1,33.469,-101.645
19780,"Des Moines-West Des Moines, IA",M1,41.576,-93.762
20220,"Dubuque, IA",M1,42.469,-90.882
41500,"Salinas, CA",M1,36.217,-121.239
27180,"Jackson, TN",M1,35.746,-88.881
49660,"Youngstown-Warren-Boardman, OH-PA",M1,41.238,-80.568
48540,"Wheeling, WV-OH",M1,39.975,-80.841
48620,"Wichita, KS",M1,37.639,-97.245
27500,"Janesville-Beloit, WI",M1,42.671,-89.072
35840,"North Port-Sarasota-Bradenton, FL",M1,27.634,-82.573
35840,"North Port-Sarasota-Bradenton, FL",M1,27.348,-82.322
44220,"Springfield, OH",M1,39.917,-83.784
16700,"Charleston-North Charleston, SC",M1,33.019,-79.504
16700,"Charleston-North Charleston, SC",M1,32.991,-79.549
16700,"Charleston-North Charleston, SC",M1,32.546,-80.181
16700,"Charleston-North Charleston, SC",M1,33.043,-80.044
38940,"Port St. Lucie, FL",M1,27.22,-80.451
33260,"Midland, TX",M1,32.09,-101.991
43100,"Sheboygan, WI",M1,43.721,-87.945
22540,"Fond du Lac, WI",M1,43.754,-88.488
43780,"South Bend-Mishawaka, IN-MI",M1,41.774,-86.134
12620,"Bangor, ME",M1,45.401,-68.649
26980,"Iowa City, IA",M1,41.511,-91.65
19140,"Dalton, GA",M1,34.796,-84.848
34940,"Naples-Marco Island, FL",M1,26.111,-81.348
11500,"Anniston-Oxford, AL",M1,33.771,-85.826
40980,"Saginaw, MI",M1,43.335,-84.053
41100,"St. George, UT",M1,37.28,-113.505
13020,"Bay City, MI",M1,43.67,-83.824
13020,"Bay City, MI",M1,43.708,-83.992
40580,"Rocky Mount, NC",M1,35.941,-77.798
33220,"Midland, MI",M1,43.647,-84.388
21500,"Erie, PA",M1,41.993,-80.033
23060,"Fort Wayne, IN",M1,41.107,-85.215
19740,"Denver-Aurora-Lakewood, CO",M1,39.958,-105.102
19740,"Denver-Aurora-Lakewood, CO",M1,39.434,-104.894
40420,"Rockford, IL",M1,42.332,-89.042
10180,"Abilene, TX",M1,32.45,-99.718
22420,"Flint, MI",M1,43.022,-83.707
37860,"Pensacola-Ferry Pass-Brent, FL",M1,30.688,-87.156
39460,"Punta Gorda, FL",M1,26.905,-81.912
21420,"Enid, OK",M1,36.379,-97.783
11020,"Altoona, PA",M1,40.481,-78.349
48140,"Wausau-Weston, WI",M1,45.059,-89.75
11180,"Ames, IA",M1,42.036,-93.698
12540,"Bakersfield, CA",M1,35.343,-118.73
39900,"Reno, NV",M1,40.619,-119.659
31700,"Manchester-Nashua, NH",M1,42.915,-71.716
11540,"Appleton, WI",M1,44.289,-88.371
12980,"Battle Creek, MI",M1,42.247,-85.006
41660,"San Angelo, TX",M1,31.486,-100.772
36780,"Oshkosh-Neenah, WI",M1,44.069,-88.645
16940,"Cheyenne, WY",M1,41.307,-104.69
34620,"Muncie, IN",M1,40.228,-85.397
19180,"Danville, IL",M1,40.183,-87.733
23900,"Gettysburg, PA",M1,39.872,-77.218
17820,"Colorado Springs, CO",M1,38.843,-104.658
34740,"Muskegon, MI",M1,43.291,-86.152
25220,"Hammond, LA",M1,30.627,-90.406
28020,"Kalamazoo-Portage, MI",M1,42.245,-85.531
21300,"Elmira, NY",M1,42.141,-76.76
48700,"Williamsport, PA",M1,41.343,-77.065
24140,"Goldsboro, NC",M1,35.364,-78.004
24220,"Grand Forks, ND-MN",M1,47.836,-96.844
26900,"Indianapolis-Carmel-Anderson, IN",M1,39.747,-86.206
27900,"Joplin, MO",M1,37.057,-94.34
43580,"Sioux City, IA-NE-SD",M1,42.513,-96.438
35620,"New York-Newark-Jersey City, NY-NJ-PA",M1,41.27,-71.988
35620,"New York-Newark-Jersey City, NY-NJ-PA",M1,41.092,-72.106
35620,"New York-Newark-Jersey City, NY-NJ-PA",M1,41.18,-72.193
35620,"New York-Newark-Jersey City, NY-NJ-PA",M1,40.853,-73.77
35620,"New York-Newark-Jersey City, NY-NJ-PA",M1,40.884,-73.771
35620,"New York-Newark-Jersey City, NY-NJ-PA",M1,40.689,-74.019
35620,"New York-Newark-Jersey City, NY-NJ-PA",M1,40.694,-74.043
35620,"New York-Newark-Jersey City, NY-NJ-PA",M1,40.581,-74.152
35620,"New York-Newark-Jersey City, NY-NJ-PA",M1,40.77,-74.103
